Conversation ID,Profile,Duration (s),Status,Questions
chat_20251016_155859_batch_164,ppd_possible,58.38,completed,10
chat_20251016_155957_batch_165,ppd_urgent,63.67,completed,10
chat_20251016_160101_batch_166,ppd_possible,71.31,completed,10
chat_20251016_160212_batch_167,ppd_possible,84.91,completed,10
chat_20251016_160337_batch_168,ppd_high,74.06,completed,10
chat_20251016_160451_batch_169,ppd_possible,67.50,completed,10
chat_20251016_160559_batch_170,ppd_possible,64.98,completed,10
chat_20251016_160704_batch_171,ppd_low,57.81,completed,10
chat_20251016_160801_batch_172,ppd_possible,63.67,completed,10
chat_20251016_160905_batch_173,ppd_probable,110.41,completed,10
chat_20251016_161056_batch_174,ppd_low,96.20,completed,10
chat_20251016_161232_batch_175,ppd_high,81.18,completed,10
chat_20251016_161353_batch_176,ppd_high,84.65,completed,10
chat_20251016_161518_batch_177,ppd_probable,98.39,completed,10
chat_20251016_161656_batch_178,ppd_urgent,59.14,completed,10
chat_20251016_161755_batch_179,ppd_low,55.44,completed,10
chat_20251016_161851_batch_180,ppd_probable,59.10,completed,10
chat_20251016_161950_batch_181,ppd_possible,61.50,completed,10
chat_20251016_162051_batch_182,ppd_urgent,59.03,completed,10
chat_20251016_162150_batch_183,ppd_low,62.25,completed,10
chat_20251016_162253_batch_184,ppd_low,74.24,completed,10
chat_20251016_162407_batch_185,ppd_high,58.97,completed,10
chat_20251016_162506_batch_186,ppd_low,57.94,completed,10
chat_20251016_162604_batch_187,ppd_probable,63.29,completed,10
chat_20251016_162707_batch_188,ppd_possible,80.71,completed,10
chat_20251016_162828_batch_189,ppd_low,50.73,completed,10
chat_20251016_162919_batch_190,ppd_low,71.05,completed,10
chat_20251016_163030_batch_191,ppd_low,49.33,completed,10
chat_20251016_163119_batch_192,ppd_low,58.45,completed,10
chat_20251016_163217_batch_193,ppd_high,65.16,completed,10
chat_20251016_163323_batch_194,ppd_high,44.30,completed,10
chat_20251016_163407_batch_195,ppd_low,49.36,completed,10
